epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7638,1.40273,3.11002,1.43946,0.91838,0.56562,0.7506,0.59181,0.76069,2.05183,0.98229,0.00329545,0.00329545,0.00329545
2,18.2727,1.16058,1.85401,1.21073,0.81825,0.79978,0.88143,0.64437,0.93398,1.39598,1.05619,0.00661566,0.00661566,0.00661566
3,25.5033,1.18582,1.65071,1.26394,0.93808,0.78672,0.88183,0.67975,0.84876,1.03524,1.03607,0.00992267,0.00992267,0.00992267
4,32.7774,1.19112,1.4711,1.26709,0.88648,0.84466,0.88498,0.64497,0.94364,0.95455,1.10351,0.0099406,0.0099406,0.0099406
5,39.9753,1.14401,1.28812,1.27139,0.88006,0.76646,0.84841,0.67106,0.81341,0.8587,1.06813,0.0099208,0.0099208,0.0099208
6,47.174,1.1304,1.17395,1.26494,0.90299,0.86907,0.891,0.71574,0.87177,0.75213,1.06966,0.009901,0.009901,0.009901
7,54.438,1.09497,1.07658,1.22713,0.87705,0.87276,0.89145,0.70934,0.79463,0.89418,1.06893,0.0098812,0.0098812,0.0098812
8,61.6297,1.08859,1.01861,1.23074,0.88875,0.85846,0.87309,0.637,0.89416,0.78377,1.09049,0.0098614,0.0098614,0.0098614
9,68.7569,1.07322,0.98259,1.22543,0.76403,0.76451,0.81111,0.66251,0.80462,0.77639,1.03638,0.0098416,0.0098416,0.0098416
10,75.8546,1.06089,0.94608,1.20261,0.94429,0.89073,0.92125,0.72407,0.86717,0.62385,1.0992,0.0098218,0.0098218,0.0098218
11,82.8827,1.04495,0.91496,1.19609,0.87455,0.88963,0.90615,0.72489,0.83418,0.61144,1.04571,0.009802,0.009802,0.009802
12,90.0845,1.04446,0.91555,1.19534,0.91778,0.89007,0.92075,0.70271,0.91643,0.65659,1.09758,0.0097822,0.0097822,0.0097822
13,97.1834,1.00991,0.86782,1.18626,0.93256,0.84327,0.89842,0.73029,0.75578,0.60841,1.02411,0.0097624,0.0097624,0.0097624
14,104.533,1.0037,0.86987,1.18748,0.90726,0.88928,0.91036,0.74151,0.7548,0.60463,1.00552,0.0097426,0.0097426,0.0097426
15,111.56,1.0151,0.82115,1.17599,0.96389,0.85533,0.90838,0.71625,0.8807,0.5708,1.08223,0.0097228,0.0097228,0.0097228
16,118.719,0.98046,0.80368,1.16472,0.93345,0.87414,0.92322,0.75623,0.78304,0.53116,1.04324,0.009703,0.009703,0.009703
17,126.155,0.98481,0.81693,1.18075,0.95059,0.86713,0.9099,0.74056,0.81157,0.57817,1.0528,0.0096832,0.0096832,0.0096832
18,133.237,1.01548,0.82203,1.17778,0.92067,0.86509,0.91629,0.75417,0.79947,0.51282,1.02996,0.0096634,0.0096634,0.0096634
19,140.496,0.95954,0.77346,1.14931,0.94609,0.87551,0.90764,0.7253,0.86781,0.54247,1.06649,0.0096436,0.0096436,0.0096436
20,147.574,0.97048,0.78259,1.15479,0.93957,0.8338,0.91966,0.73355,0.77717,0.57319,1.05814,0.0096238,0.0096238,0.0096238
21,154.7,0.94704,0.76116,1.14672,0.9082,0.89134,0.92591,0.75797,0.72444,0.4856,1.01252,0.009604,0.009604,0.009604
22,161.804,0.95564,0.7486,1.15101,0.91194,0.8909,0.91447,0.74773,0.7728,0.53115,1.04526,0.0095842,0.0095842,0.0095842
23,168.908,0.94719,0.73791,1.14944,0.92099,0.88738,0.92818,0.74294,0.7868,0.53279,1.03528,0.0095644,0.0095644,0.0095644
