epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.68993,1.35771,4.6418,1.04202,0.5972,0.2359,0.20109,0.1258,1.06639,2.26454,0.92939,8.888e-05,8.888e-05,8.888e-05
2,8.56973,1.13026,1.31773,0.98728,0.32088,0.51321,0.33375,0.20912,1.05544,7.73226,0.97619,0.000187935,0.000187935,0.000187935
3,12.327,1.10373,1.01806,0.99309,0.42186,0.35654,0.37676,0.23324,1.13918,2.46623,1.00201,0.000286,0.000286,0.000286
4,16.0111,1.08632,0.9595,0.99805,0.42776,0.38816,0.38127,0.22136,1.13707,2.1444,1.00447,0.000383076,0.000383076,0.000383076
5,19.5607,1.07354,0.96988,0.97556,0.51845,0.48499,0.42769,0.25674,1.20727,4.23217,1.06694,0.000479161,0.000479161,0.000479161
6,23.2845,1.08669,0.82453,0.99987,0.61497,0.54561,0.51267,0.30448,1.09481,1.76051,1.01402,0.000574256,0.000574256,0.000574256
7,27.0041,1.11375,0.81432,0.97853,0.6644,0.51757,0.55082,0.35186,1.08893,1.34668,1.02243,0.000668362,0.000668362,0.000668362
8,30.6812,1.07056,0.7817,0.99237,0.5167,0.55706,0.46843,0.28527,1.118,1.24831,1.05564,0.000761478,0.000761478,0.000761478
9,34.5155,1.0842,0.7496,0.97568,0.52504,0.50947,0.47555,0.28148,1.19427,1.75193,1.05333,0.000853604,0.000853604,0.000853604
10,37.9791,1.10672,0.73636,0.97513,0.58583,0.53418,0.49347,0.28332,1.15826,1.12805,1.07473,0.000944739,0.000944739,0.000944739
11,41.4643,1.10195,0.70532,0.97095,0.31334,0.58854,0.27003,0.15684,1.22747,inf,1.14686,0.00103489,0.00103489,0.00103489
12,44.9447,1.08279,0.72154,0.97781,0.65441,0.48891,0.54328,0.33831,1.12935,1.2337,1.04548,0.00105051,0.00105051,0.00105051
13,48.3885,1.12163,0.75386,0.97258,0.40173,0.58631,0.48985,0.30191,1.18351,1.54959,1.05563,0.00104501,0.00104501,0.00104501
14,51.8506,1.11647,0.77696,0.9936,0.66971,0.62018,0.61138,0.37493,1.13492,0.93418,1.0569,0.00103951,0.00103951,0.00103951
15,55.564,1.05972,0.72331,0.96719,0.61812,0.64774,0.62097,0.36962,1.13596,1.21586,1.02748,0.00103401,0.00103401,0.00103401
16,59.0573,1.08885,0.74746,0.96566,0.56172,0.56332,0.52746,0.31762,1.10177,1.12303,1.03054,0.00102851,0.00102851,0.00102851
17,62.7372,1.02048,0.71184,0.963,0.45793,0.6018,0.52687,0.31904,1.11501,1.19437,1.0357,0.00102301,0.00102301,0.00102301
18,66.3423,1.01449,0.69215,0.94849,0.56368,0.55841,0.56326,0.33243,1.05998,0.8608,0.99667,0.00101751,0.00101751,0.00101751
19,69.7899,1.00293,0.64818,0.94359,0.67457,0.60604,0.59479,0.36496,1.08439,0.92572,1.02601,0.00101201,0.00101201,0.00101201
20,73.2855,1.01397,0.63713,0.93665,0.6914,0.63604,0.62398,0.3596,1.0754,0.89156,1.01609,0.00100651,0.00100651,0.00100651
21,76.7376,0.98428,0.70795,0.97073,0.58081,0.66972,0.62758,0.37941,1.06914,0.82257,1.0033,0.00100101,0.00100101,0.00100101
22,80.404,1.00542,0.64874,0.94952,0.63808,0.67368,0.62681,0.39577,1.11072,0.97805,1.01252,0.000995512,0.000995512,0.000995512
23,84.0589,0.99243,0.65984,0.94332,0.6184,0.68383,0.65082,0.42633,1.08274,0.72632,1.01611,0.000990012,0.000990012,0.000990012
24,87.7713,0.99674,0.61188,0.95788,0.68496,0.65638,0.66847,0.41008,1.06166,0.74814,1.00012,0.000984513,0.000984513,0.000984513
25,91.3828,0.97825,0.59659,0.93494,0.69728,0.6724,0.67244,0.41278,1.09597,0.76566,1.03699,0.000979013,0.000979013,0.000979013
26,95.1974,0.96313,0.60349,0.94864,0.62733,0.72484,0.64179,0.3987,1.0373,0.75156,0.99947,0.000973514,0.000973514,0.000973514
27,98.6592,0.97814,0.6141,0.94029,0.70779,0.72948,0.706,0.44821,1.04256,0.70366,0.99526,0.000968014,0.000968014,0.000968014
28,102.354,0.96693,0.59779,0.94848,0.62098,0.71754,0.63335,0.40915,1.04774,0.72093,0.97759,0.000962515,0.000962515,0.000962515
29,105.871,0.96486,0.5887,0.93939,0.77585,0.70834,0.70986,0.43408,1.06853,0.70052,1.00936,0.000957015,0.000957015,0.000957015
30,109.32,0.92537,0.56747,0.93227,0.77921,0.60527,0.68237,0.40136,1.035,0.71188,0.99417,0.000951516,0.000951516,0.000951516
31,112.749,0.93397,0.57276,0.91278,0.7131,0.62349,0.6362,0.382,1.08386,0.70626,1.01592,0.000946016,0.000946016,0.000946016
32,116.232,0.96716,0.60306,0.93568,0.62337,0.73968,0.67396,0.42519,1.03384,0.65116,0.98958,0.000940517,0.000940517,0.000940517
33,119.703,0.93094,0.58032,0.92886,0.6758,0.65021,0.68932,0.41975,1.04016,0.68664,0.98998,0.000935018,0.000935018,0.000935018
34,123.358,0.94148,0.57036,0.92528,0.70637,0.63128,0.68062,0.41852,1.04981,0.69754,0.99451,0.000929518,0.000929518,0.000929518
35,126.829,0.92396,0.55988,0.91979,0.79471,0.61354,0.68598,0.43113,1.04245,0.65891,0.9946,0.000924019,0.000924019,0.000924019
36,130.342,0.8886,0.54796,0.91966,0.72217,0.64078,0.66852,0.41904,1.01498,0.68414,0.99343,0.000918519,0.000918519,0.000918519
37,133.785,0.89207,0.55808,0.91524,0.66131,0.63409,0.65634,0.40513,1.04575,0.69075,0.97903,0.00091302,0.00091302,0.00091302
38,137.238,0.90408,0.5452,0.91601,0.65815,0.69568,0.69902,0.42963,0.99598,0.70922,0.96887,0.00090752,0.00090752,0.00090752
39,140.726,0.91159,0.56428,0.92177,0.67601,0.66173,0.69359,0.45548,0.98439,0.66774,0.96956,0.000902021,0.000902021,0.000902021
40,144.462,0.90374,0.57409,0.91002,0.65152,0.67795,0.65864,0.42261,0.98431,0.73663,0.96286,0.000896521,0.000896521,0.000896521
41,147.896,0.87238,0.55229,0.93089,0.62074,0.72838,0.73237,0.45615,1.0368,0.70189,0.97812,0.000891022,0.000891022,0.000891022
42,151.558,0.94051,0.55856,0.91116,0.64954,0.76729,0.72415,0.45476,1.12849,0.72416,1.01048,0.000885523,0.000885523,0.000885523
43,155.149,0.95326,0.56757,0.93307,0.73729,0.65178,0.70079,0.448,1.02607,0.70536,0.96404,0.000880023,0.000880023,0.000880023
44,158.655,0.94525,0.57397,0.91799,0.61718,0.77923,0.67644,0.44014,1.00366,0.75,0.96572,0.000874524,0.000874524,0.000874524
