epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.33982,1.35771,4.6418,1.04202,0.5972,0.2359,0.20109,0.1258,1.06639,2.26454,0.92939,8.888e-05,8.888e-05,8.888e-05
2,8.1692,1.1323,1.3204,0.98866,0.39513,0.43237,0.34266,0.21649,1.05431,8.9879,0.97717,0.000188496,0.000188496,0.000188496
3,11.94,1.10702,1.02573,0.99317,0.46493,0.40997,0.38435,0.22714,1.14674,2.33715,0.99197,0.000287716,0.000287716,0.000287716
4,15.653,1.08681,0.97078,0.99677,0.41717,0.52411,0.39784,0.23349,1.19027,2.76359,1.015,0.00038654,0.00038654,0.00038654
5,19.4524,1.07361,0.86795,0.97822,0.27934,0.55024,0.29758,0.17338,1.14432,inf,1.04405,0.000484968,0.000484968,0.000484968
6,23.1346,1.06617,0.77177,0.99635,0.43587,0.56295,0.38125,0.22767,1.09437,7.43662,1.03151,0.000583001,0.000583001,0.000583001
7,26.6409,1.12805,0.96368,0.98858,0.3532,0.50852,0.35706,0.20308,1.26459,3.74,1.08627,0.000680637,0.000680637,0.000680637
8,30.1087,1.10665,0.82844,1.01091,0.57072,0.53995,0.49718,0.309,1.10006,1.58332,1.04207,0.000777877,0.000777877,0.000777877
9,34.0433,1.1296,0.84117,1.00051,0.57355,0.6045,0.54337,0.32463,1.12745,1.27873,1.05037,0.000874721,0.000874721,0.000874721
10,37.8195,1.12458,0.74924,0.997,0.49896,0.69727,0.47938,0.26403,1.28424,1.91377,1.11966,0.00097117,0.00097117,0.00097117
11,41.2966,1.1227,0.72872,0.98321,0.65476,0.56376,0.56704,0.36564,1.09168,1.06778,1.02839,0.00106722,0.00106722,0.00106722
12,45.0264,1.12941,0.73619,1.00052,0.65121,0.56333,0.55933,0.32122,1.20946,0.98449,1.07112,0.0010868,0.0010868,0.0010868
13,48.653,1.10756,0.67478,0.98333,0.57441,0.66122,0.62076,0.37971,1.11159,0.98326,1.04538,0.0010846,0.0010846,0.0010846
14,52.3008,1.06934,0.68164,0.98911,0.63899,0.58437,0.60026,0.36047,1.1435,0.76535,1.04701,0.0010824,0.0010824,0.0010824
15,55.7735,1.04685,0.68424,0.97599,0.67828,0.55431,0.62356,0.36233,1.08508,0.82764,1.02747,0.0010802,0.0010802,0.0010802
16,59.2547,1.05999,0.74826,0.96651,0.5562,0.63266,0.60957,0.38138,1.07905,0.93071,1.03479,0.001078,0.001078,0.001078
17,63.0348,1.02406,0.6975,0.97393,0.60024,0.53989,0.53767,0.32288,1.05926,0.93253,1.0179,0.0010758,0.0010758,0.0010758
18,66.5004,1.00284,0.69926,0.96085,0.66729,0.52816,0.65159,0.39006,1.07711,1.0296,1.02492,0.0010736,0.0010736,0.0010736
19,70.157,1.0011,0.66759,0.94805,0.60531,0.67251,0.604,0.37939,1.08225,0.91708,1.03646,0.0010714,0.0010714,0.0010714
20,73.78,1.00294,0.64345,0.94033,0.71814,0.68517,0.6619,0.38512,1.08695,0.82801,1.03486,0.0010692,0.0010692,0.0010692
21,77.2129,0.9807,0.64746,0.97071,0.67926,0.63051,0.65137,0.3763,1.04154,0.83449,1.00083,0.001067,0.001067,0.001067
22,80.6728,1.00672,0.62441,0.95812,0.80988,0.5647,0.65231,0.40593,1.11428,0.84113,1.03596,0.0010648,0.0010648,0.0010648
23,84.35,0.99905,0.64878,0.95162,0.59328,0.65612,0.59837,0.35303,1.07949,0.80654,1.01603,0.0010626,0.0010626,0.0010626
24,87.9865,0.98676,0.61666,0.95413,0.62879,0.68601,0.66113,0.40639,1.06234,0.74759,1.01132,0.00106041,0.00106041,0.00106041
25,91.7493,0.98914,0.61164,0.93791,0.71652,0.68194,0.69327,0.42312,1.07488,0.73442,1.02372,0.00105821,0.00105821,0.00105821
26,95.4051,0.96464,0.61554,0.94139,0.65336,0.66044,0.65311,0.40505,1.06434,0.74594,1.0176,0.00105601,0.00105601,0.00105601
27,98.8593,0.96369,0.60506,0.94335,0.77772,0.67567,0.73419,0.44697,1.0763,0.70188,1.0219,0.00105381,0.00105381,0.00105381
28,102.697,0.96948,0.59326,0.95331,0.65697,0.68177,0.65174,0.38744,1.05795,0.76794,1.01723,0.00105161,0.00105161,0.00105161
29,106.142,0.97424,0.59023,0.9443,0.6323,0.72812,0.6742,0.40295,1.08258,0.72647,1.0307,0.00104941,0.00104941,0.00104941
30,109.584,0.92572,0.57335,0.93106,0.69591,0.68509,0.68832,0.41803,1.03491,0.75273,1.0215,0.00104721,0.00104721,0.00104721
31,113.018,0.94925,0.59397,0.91555,0.61757,0.61626,0.62562,0.38431,1.05076,0.78946,1.00662,0.00104501,0.00104501,0.00104501
32,116.631,0.98325,0.6489,0.93903,0.73924,0.64449,0.69725,0.42804,1.08332,0.68583,1.00708,0.00104281,0.00104281,0.00104281
33,120.088,0.98819,0.62861,0.94275,0.67522,0.66497,0.70903,0.43792,1.08021,0.69368,1.00668,0.00104061,0.00104061,0.00104061
34,123.523,1.02236,0.62432,0.94958,0.64077,0.66556,0.71753,0.43728,1.10043,0.74001,1.00664,0.00103841,0.00103841,0.00103841
35,126.954,1.00965,0.59843,0.94327,0.73656,0.54569,0.62398,0.37881,1.13739,0.76575,1.00841,0.00103621,0.00103621,0.00103621
36,130.494,0.95199,0.57906,0.93709,0.70684,0.66134,0.71125,0.4526,1.06355,0.69138,0.99957,0.00103401,0.00103401,0.00103401
37,134.164,0.94885,0.59542,0.9336,0.67739,0.67909,0.71211,0.46376,1.062,0.72871,0.99788,0.00103181,0.00103181,0.00103181
38,137.872,0.93713,0.57964,0.92957,0.59675,0.67958,0.70081,0.45155,1.03062,0.70211,0.98819,0.00102961,0.00102961,0.00102961
39,141.314,0.91394,0.57301,0.93189,0.75948,0.63979,0.71624,0.46281,1.00923,0.66844,1.00025,0.00102741,0.00102741,0.00102741
40,144.926,0.95421,0.58369,0.92398,0.79456,0.67812,0.70544,0.44504,1.04066,0.7462,0.99811,0.00102521,0.00102521,0.00102521
41,148.353,0.907,0.54986,0.94388,0.66626,0.70522,0.72276,0.46345,1.00801,0.66632,0.9856,0.00102301,0.00102301,0.00102301
42,152.066,0.94586,0.55519,0.9193,0.68914,0.68735,0.7096,0.44899,1.07506,0.67192,1.00566,0.00102081,0.00102081,0.00102081
43,155.526,0.92598,0.55149,0.92724,0.71024,0.62085,0.6803,0.42718,1.02352,0.68947,0.99013,0.00101861,0.00101861,0.00101861
44,159.161,0.93721,0.564,0.92508,0.63019,0.7065,0.6862,0.44486,1.02694,0.67956,0.97334,0.00101641,0.00101641,0.00101641
45,162.623,0.9609,0.56686,0.92366,0.68301,0.66039,0.70472,0.44608,1.0689,0.67452,1.00059,0.00101421,0.00101421,0.00101421
46,166.079,0.97369,0.58351,0.92965,0.69996,0.66785,0.68273,0.43123,1.03291,0.67411,0.98123,0.00101201,0.00101201,0.00101201
47,169.542,0.90038,0.54465,0.91546,0.60907,0.63943,0.62985,0.39302,1.07897,0.71413,1.0009,0.00100981,0.00100981,0.00100981
48,173.306,0.91968,0.53075,0.91896,0.65313,0.67668,0.6661,0.40987,1.00282,0.731,0.97045,0.00100761,0.00100761,0.00100761
49,176.81,0.91297,0.52905,0.91524,0.66987,0.72249,0.65956,0.40259,1.02229,0.6842,0.97796,0.00100541,0.00100541,0.00100541
50,180.338,0.88422,0.52157,0.92178,0.70819,0.74872,0.68226,0.42521,1.02728,0.67799,0.98409,0.00100321,0.00100321,0.00100321
51,183.833,0.89954,0.52814,0.90843,0.72613,0.65126,0.6852,0.42137,1.05165,0.68752,0.99377,0.00100101,0.00100101,0.00100101
52,187.458,0.89193,0.54962,0.91535,0.70505,0.71955,0.70943,0.4536,1.03362,0.69203,0.98864,0.000998811,0.000998811,0.000998811
53,190.874,0.87949,0.50958,0.91383,0.60877,0.71797,0.67672,0.41875,1.00667,0.72079,0.98601,0.000996611,0.000996611,0.000996611
54,194.307,0.89225,0.52909,0.91095,0.7149,0.77604,0.7381,0.44649,1.05207,0.65298,0.99178,0.000994412,0.000994412,0.000994412
55,197.769,0.89926,0.52716,0.91332,0.71318,0.71827,0.71504,0.43596,1.0364,0.67716,0.99039,0.000992212,0.000992212,0.000992212
